time_s,C_ppm
0.0,420.0
1.0,429.9748249154892
2.0,438.2913642960673
3.0,445.22530327291145
4.0,451.0064951286105
5.0,455.82658070825204
6.0,459.84534112565024
7.0,463.1959943507011
8.0,465.9896112545452
9.0,468.3187975001094
10.0,470.2607633290891
11.0,471.87988300580326
12.0,473.2298287609766
13.0,474.3553499735956
14.0,475.2937565689722
15.0,476.07615580620836
16.0,476.7284834533539
17.0,477.27236353270257
18.0,477.7258251359425
19.0,478.1039000708788
20.0,478.4191211511331
21.0,478.68193764663386
22.0,478.90106166667596
23.0,479.0837569578064
24.0,479.236079689905
25.0,479.3630792122814
26.0,479.46896543465687
27.0,479.5572483815464
28.0,479.6308545461318
29.0,479.69222390064317
30.0,479.74339077904744
31.0,479.7860513132258
32.0,479.8216196580837
33.0,479.8512748694
34.0,479.8759999883712
35.0,479.8966146284631
36.0,479.91380214479483
37.0,479.92813228669087
38.0,479.94008008431314
39.0,479.9500415954452
40.0,479.9583470344201
41.0,479.96527171840125
42.0,479.97104519387733
43.0,479.9758588459029
44.0,479.9798722423258
45.0,479.9832184233049
46.0,479.9860083114605
47.0,479.9883343888514
48.0,479.9902737626637
49.0,479.991890721239
50.0,479.99323886516953
51.0,479.9943628841056
52.0,479.9953000381735
53.0,479.9960813931123
54.0,479.9967328500726
55.0,479.99727600421426
56.0,479.9977288605648
57.0,479.9981064308686
58.0,479.99842123121107
59.0,479.9986836969153
60.0,479.99890252846205
61.0,479.9990849799027
62.0,479.9992370993238
63.0,479.999363929335
64.0,479.999469674227
65.0,479.9995578393392
66.0,479.9996313472588
67.0,479.99969263470126
68.0,479.99974373328524
69.0,479.9997863368788
70.0,479.9998218577492
71.0,479.99985147337856
72.0,479.99987616549595
73.0,479.9998967526209
74.0,479.9999139171964
75.0,479.9999282282113
76.0,479.9999401600617
77.0,479.99995010827683
78.0,479.9999584026302
79.0,479.9999653180716
80.0,479.999971083841
81.0,479.999975891068
82.0,479.99997989910764
83.0,479.9999832408223
84.0,479.99998602698673
85.0,479.9999883499594
86.0,479.99999028674466
87.0,479.999991901545
88.0,479.9999932478895
89.0,479.99999437040816
90.0,479.9999953063114
91.0,479.9999960866234
92.0,479.99999673721084
93.0,479.99999727964
94.0,479.99999773189194
95.0,479.99999810895827
96.0,479.99999842333847
97.0,479.9999986854538
98.0,479.9999989039933
99.0,479.9999990862012
100.0,479.9999992381176
101.0,479.9999993647783
102.0,479.9999994703821
103.0,479.9999995584295
104.0,479.99999963183933
105.0,479.99999969304497
106.0,479.99999974407535
107.0,479.9999997866221
108.0,479.9999998220955
109.0,479.99999985167165
110.0,479.9999998763308
111.0,479.9999998968904
112.0,479.9999999140321
113.0,479.99999992832403
114.0,479.99999994023995
115.0,479.99999995017487
116.0,479.99999995845815
117.0,479.99999996536434
118.0,479.99999997112246
119.0,479.99999997592323
120.0,479.9999999799259
121.0,479.9999999832632
122.0,479.9999999860456
123.0,479.9999999883655
124.0,479.9999999902997
125.0,479.9999999919124
126.0,479.9999999932569
127.0,479.9999999943779
128.0,479.9999999953126
129.0,479.99999999609184
130.0,479.99999999674156
131.0,479.9999999972833
132.0,479.9999999977349
133.0,479.9999999981115
134.0,479.99999999842544
135.0,479.9999999986872
136.0,479.9999999989055
137.0,479.99999999908744
138.0,479.99999999923915
139.0,479.9999999993656
140.0,479.9999999994711
141.0,479.999999999559
142.0,479.99999999963234
143.0,479.99999999969344
144.0,479.99999999974443
145.0,479.9999999997869
146.0,479.9999999998223
147.0,479.99999999985187
148.0,479.9999999998765
149.0,479.999999999897
150.0,479.99999999991417
151.0,479.99999999992843
152.0,479.9999999999403
153.0,479.99999999995026
154.0,479.9999999999585
155.0,479.9999999999654
156.0,479.9999999999712
157.0,479.99999999997596
158.0,479.99999999997993
159.0,479.9999999999833
160.0,479.9999999999861
161.0,479.9999999999884
162.0,479.99999999999034
163.0,479.9999999999919
164.0,479.9999999999933
165.0,479.9999999999944
166.0,479.99999999999534
167.0,479.9999999999961
168.0,479.99999999999676
169.0,479.99999999999727
170.0,479.9999999999977
171.0,479.9999999999981
172.0,479.9999999999984
173.0,479.9999999999987
174.0,479.9999999999989
175.0,479.9999999999991
176.0,479.99999999999926
177.0,479.9999999999994
178.0,479.9999999999995
179.0,479.99999999999955
180.0,479.99999999999966
