time_s,C_ppm
0.0,419.2319157025432
1.0,421.51417273054545
2.0,422.96972661162386
3.0,425.88976416679174
4.0,426.7156504472228
5.0,430.6877243526846
6.0,429.62010493095545
7.0,431.2008656714811
8.0,432.3752375525017
9.0,435.51789914491536
10.0,435.3195280221785
11.0,438.8651579373515
12.0,438.27402642566466
13.0,441.0162619932762
14.0,443.3624420884958
15.0,441.7800447106113
16.0,440.52630464125446
17.0,445.3091454385151
18.0,446.30090987949916
19.0,446.5609962624888
20.0,447.54048769524053
21.0,449.5942150208775
22.0,447.6255550919587
23.0,450.0445184392049
24.0,452.687177840207
25.0,451.03543463257523
26.0,452.26023785393943
27.0,452.92412265172993
28.0,454.74333526951887
29.0,452.7262578647494
30.0,454.5521506172859
31.0,456.3978012482519
32.0,457.3781133447454
33.0,455.4934327166337
34.0,457.6199470764402
35.0,457.4888633355227
36.0,458.59858010319414
37.0,460.15555095049854
38.0,457.55458243684217
39.0,458.6666974911277
40.0,459.63120087171245
41.0,458.23777586820177
42.0,458.9537601363117
43.0,460.8337582796418
44.0,462.0328142614799
45.0,461.9036604342659
46.0,461.60330785278165
47.0,462.405148790861
48.0,463.1879830054183
49.0,463.38809579153497
50.0,461.80746087557344
51.0,461.9712520409817
52.0,464.6299802276672
53.0,462.282692777426
54.0,465.152823132193
55.0,465.12379700866103
56.0,463.99027054238644
57.0,464.989837915013
58.0,465.75025069287534
59.0,464.9280428044185
60.0,464.6755106606167
61.0,466.3055306272563
62.0,466.3942951259878
63.0,467.0655433155048
64.0,465.1013164310537
65.0,466.61803854686923
66.0,466.4208784967359
67.0,467.5456517515583
68.0,466.40574953326586
69.0,465.7884470666688
70.0,467.2784358763899
71.0,465.3846967751179
72.0,466.186631819393
73.0,467.1223718825808
74.0,468.5705728012683
75.0,466.070389095076
76.0,467.12946625076245
77.0,467.26252421775735
78.0,465.7923104020374
79.0,468.252674925192
80.0,467.3492586042336
81.0,467.7324251050101
82.0,468.29411932423767
83.0,466.93928234780253
84.0,467.0384838858261
85.0,469.68208724936267
86.0,468.32723699379284
87.0,469.519050677719
88.0,469.9368876852813
89.0,468.93438075524284
90.0,467.66510509535357
91.0,470.51977107751554
92.0,468.48569067188436
93.0,468.2118837062937
94.0,469.231261848975
95.0,469.7625681611761
96.0,469.459819750348
97.0,468.5803637931698
98.0,469.9321317727618
99.0,468.3086841157086
100.0,469.48442904710595
101.0,468.87508324411135
102.0,468.2273809743531
103.0,469.8874192002472
104.0,469.7128195601351
105.0,468.73119141659254
106.0,468.7141845211824
107.0,469.4382302412623
108.0,470.3271769723112
109.0,470.7992090493853
110.0,468.93252168198364
111.0,470.1064482588169
112.0,470.50849951207664
113.0,468.4062771759803
114.0,469.4225138055477
115.0,468.0709773988202
116.0,469.4468277314444
117.0,470.25563822123036
118.0,469.90392861779634
119.0,470.51390778155195
120.0,469.71587914524093
121.0,468.4973332832704
122.0,469.61068652995925
123.0,471.1439577878193
124.0,468.47318544441504
125.0,471.8892949031462
126.0,469.6335663647823
127.0,469.61491881089563
128.0,468.8334037011179
129.0,471.222023942364
130.0,466.6036140304081
131.0,470.287603408559
132.0,471.26227941909843
133.0,469.92815272521545
134.0,470.0782443778953
135.0,471.81538534548577
136.0,468.5563581265064
137.0,470.65044685142595
138.0,468.990990145864
139.0,469.84734502735313
140.0,471.1386595499611
141.0,469.1109928437761
142.0,470.23954314375294
143.0,468.80537760512567
144.0,469.7658223792326
145.0,470.4686859151268
146.0,470.4083243372226
147.0,469.5519957985316
148.0,469.7359776327236
149.0,470.1149472646046
150.0,469.5804450770171
151.0,469.2767627613643
152.0,472.10299216156426
153.0,470.1706504483307
154.0,469.03459702841724
155.0,473.0821930382935
156.0,470.71250945681567
157.0,469.5016599629862
158.0,470.1684156322907
159.0,469.5699404794593
160.0,471.2464997434683
161.0,471.2646440992799
162.0,468.2998123229204
163.0,468.8362755445785
164.0,470.08252891388935
165.0,469.0596875527836
166.0,469.8098335826739
167.0,469.8889659435887
168.0,471.3230178286215
169.0,471.423733825653
170.0,470.9900209812962
171.0,468.98309623281625
172.0,469.7407993937821
173.0,469.39810069302416
174.0,470.1612134730143
175.0,470.14300694471535
176.0,469.8105642077585
177.0,470.8440860880698
178.0,470.3054924653403
179.0,469.3036051512599
180.0,470.62239511844484
